non_standard_date_0,non_standard_date_1,category_2,id_3,name_4,complex_5,non_standard_date_6,small_floats_7,category_8,very_large_number_9,boolean_10,mixed_numeric_11,mixed_dates_with_nulls_12,non_standard_date_13,mixed_dates_with_nulls_14,non_standard_date_15,complex_16,small_floats_17,boolean_18,category_19,utf8_20,utf8_21,mixed_names_with_nulls_22,category_23,mixed_dates_with_nulls_24,utf8_25,category_26,utf8_27,id_28,small_floats_29,small_floats_30,mixed_dates_with_nulls_31,mixed_dates_with_nulls_32,utf8_33,utf8_34,non_standard_date_35,complex_36,non_standard_date_37,mixed_names_with_nulls_38,very_large_number_39,complex_40,very_large_number_41,id_42,boolean_43,boolean_44,non_standard_date_45,id_46,category_47,mixed_numeric_48,non_standard_date_49,very_large_number_50,non_standard_date_51,mixed_numeric_52,id_53,name_54,non_standard_date_55,small_floats_56,mixed_dates_with_nulls_57,mixed_numeric_58,mixed_dates_with_nulls_59,boolean_60,sparsed_columns_61,boolean_62,non_standard_date_63,small_floats_64,non_standard_date_65,sparsed_columns_66,mixed_numeric_67,mixed_dates_with_nulls_68,small_floats_69,complex_70,boolean_71,id_72,mixed_numeric_73,very_large_number_74,email_75,mixed_missing_values_76,email_77,category_78,category_79,id_80,mixed_numeric_81,complex_82,non_standard_date_83,email_84,email_85,mixed_dates_with_nulls_86,mixed_names_with_nulls_87,id_88,mixed_dates_with_nulls_89,very_large_number_90,complex_91,non_standard_date_92,category_93,non_standard_date_94,small_floats_95,very_large_number_96,mixed_numeric_97,boolean_98,id_99
02/08/02,2020-04-02,,9144525650,Stephen Beasley,(0.584031710702399+0.3621581812801373j),06-03-2014,0.6927822801007245,,35441261976671387752,NO,248,11-12-2012,27-02-2024,,15-11-2003,(0.8914344369004717+0.8067090115679918j),0.1284060469385041,NO,C,姚雷,李雷,Denise Williams,,,张成,,庞玉珍,16438,0.5162235297383906,0.6419457063240291,24-12-2022,04-11-2008,马婷婷,李成,03-12-2014,(0.8832683950151344+0.2999016562201552j),12-04-2014,,44899359102338044320,(0.42093216474268524+0.7465372682564633j),15650116731856195726,1696101830,YES,False,08/13/2011,80626,A,decide,03-08-2001,18419616897510555206,24-09-2002,its,5481883395,Samantha Espinoza,04-06-2007,0.4381478459455047,2011-06-16,378,22-03-2024,,itself,True,05/13/2016,0.16487160416846247,04-03-2003,federal,702,,0.524241135032652,(0.378170136314707+0.031120477035626926j),True,3171448466,924,77715565702032235679,ztaylor@example.com,missing,gcox@example.org,C,A,43414,total,(0.5715534425146965+0.4914271582956412j),2003-11-25,joshua54@example.org,crystal98@example.org,29-10-2009,,97070,04-16-2010,37070898943306274469,(0.9110988195816636+0.5173955702126076j),08-08-1996,A,2019-02-15,0.7682797970742894,23840497387320672091,263,,5933840067
07/01/1997,2018-09-09,D,8182503193,Michael Harrison,(0.6792551055139379+0.8857029710570293j),04-06-2017,0.8014699396505195,B,28862058504633624767,NO,272,,10-21-2002,11-20-1999,09-02-2010,(0.6825769710152488+0.5510377808600435j),0.33536682721634214,,C,王鹏,王俊,,B,01-13-1995,贾军,,韦桂荣,43191,0.49926643678534033,0.35323585931815793,,,王建国,汪秀珍,05-28-1997,(0.8618375368966212+0.24899707616794742j),07-26-2004,Deborah Carr,10113556086798796681,(0.7307866675578052+0.1611466556777027j),99497844522967268278,2307830890,YES,False,2003-01-25,71358,D,1,12-24-1994,85163940273942649735,10/16/2021,space,1746483722,Donna Hale,31-10-2006,0.8379547016885164,,into,,False,,True,09/13/2022,0.3505233663180195,11-11-2006,,595,,0.27654922456367925,(0.7697969036144595+0.8330059636663276j),False,5428913178,thousand,5949841119118191576,mitchelldavid@example.net,focus,randy39@example.com,B,B,46356,354,(0.3910884516352995+0.9009488639373231j),2011-06-09,ksuarez@example.com,cruzerik@example.org,,,47442,07-23-2013,55982208535250313412,(0.41002077387873936+0.9636611659838955j),06-08-1996,D,1996-06-29,0.12768839869200233,80339972541196809919,530,,3141768725
10-12-2018,2006-11-24,D,1270596381,Robert Taylor,(0.39199263407385454+0.3758049418813775j),07-05-1999,0.7860036888081209,A,75819281026488874421,False,simple,,10/16/2011,,27-05-2010,(0.26116489090534845+0.07371002670782101j),0.7539620625742187,True,A,储建军,张建国,Ashley Medina,,,魏秀英,A,李萍,85097,0.44386956350683937,0.42987029069323934,16-06-2008,,黄秀荣,赵玉华,11-15-1997,(0.48880617703610185+0.6295937516827769j),10-03-2000,Brandy Baker,17387822292216228851,(0.3673257095043915+0.10765357286388888j),2705958424126164,4682566459,True,True,04-08-2004,49855,B,15,12-10-2008,74963547793576301222,05-29-2023,65,7389899234,John Ford,26-02-2011,0.34384487938839514,,coach,27-01-2016,True,,True,09/02/2021,0.5778245494051969,26-09-1995,,staff,,0.0012603659685987978,(0.6915303718729997+0.5190009243718643j),False,3728731697,602,87359447288856782637,garciawilliam@example.org,radio,powelljustin@example.org,C,C,98378,field,(0.10613565478318832+0.5703473509252502j),2003-07-21,torresandrew@example.net,martinezjennifer@example.org,,,80513,11-21-2023,40976638775732234869,(0.12540545106125023+0.7782822227454341j),01-02-2012,D,2023-01-08,0.9690385010489121,86510290736737164925,indicate,,9170875998
2007-12-09,1998-12-20,C,5777626663,Leslie Burns,(0.9757959139244304+0.8741278646534454j),15-12-2011,0.5179275616004728,B,9914594693217987283,NO,own,,27/01/27,,03-07-2010,(0.5322709981087648+0.7025214124178112j),0.05189438335613039,YES,D,孙敏,刘婷婷,Melissa Rodriguez,D,12-05-1995,李帆,C,陈波,20314,0.6466168605947721,0.12869784106575144,,,卢兵,徐晨,11-08-2013,(0.8021086134957415+0.15328074825638593j),02-18-1999,Keith Rogers,43834882512701409381,(0.5056834556897964+0.19544742530538795j),72522424729451732670,1171880947,False,True,2000-10-27,92943,D,862,08-06-2023,54373021999161650929,02-17-1997,piece,9994133828,Julie Oliver,05-11-2018,0.2885492873691503,,build,14-09-2014,False,,YES,08/10/2008,0.6874661373149857,01-10-2018,page,range,04-01-2015,0.5703810551125607,(0.014937371917099984+0.24488498449828866j),True,5162382092,executive,72366178780915842982,alexanderclark@example.net,missing,ruizkeith@example.com,B,C,66782,home,(0.05040002204789762+0.8153887179056246j),1997-02-09,alvarezrobert@example.net,davismelvin@example.net,19-12-2016,Kristine Thomas,16282,05-15-2013,18382538774146490158,(0.9910932866886462+0.5993649334412614j),07-10-2016,D,2010-04-29,0.8610311044422511,30407623158033001648,home,False,4995536131
20-12-1999,1996-12-25,A,1101695731,Christopher Hunter,(0.69373318767721+0.02850058900874941j),21-03-2024,0.6428278013897529,B,61406943891845616923,,analysis,,2023-03-23,,04-02-2012,(0.3308973701746063+0.983060370724436j),0.4649496954020116,,B,黄凯,杜玉珍,Tammy Barber,B,,景桂香,B,崔云,28162,0.37942917820316957,0.22059251422967419,,22-05-2015,罗波,佟柳,02-01-2001,(0.203040594112179+0.006700214024021989j),03-05-2017,,79754942569881385889,(0.8694947542388142+0.7771915212290998j),2319860196815190561,1498694325,True,True,07-31-2000,39300,,850,11-29-2008,46753677917921448804,02-28-2019,219,7117267881,Mark Briggs,07-07-2015,0.18131364686933016,,indicate,04-03-2005,YES,fast,YES,09/27/2000,0.12862418076815962,30-05-1996,,264,,0.5706161074702569,(0.2606968304733447+0.5050682424590048j),True,2377107308,head,52582500134861039554,melissacampbell@example.com,Not found,nschwartz@example.net,D,D,23860,851,(0.8950724157181398+0.4818292722621377j),2024-01-24,charlotte61@example.com,underwoodcynthia@example.org,,Christina Reese,38750,,64811621296158147704,(0.8019736309896681+0.5385710198127743j),11-28-2008,A,2011-06-09,0.9968661635424589,26102381194979610534,514,NO,8606475811
2018-04-15,2019-10-19,A,3893123494,Carla Higgins,(0.056410009622311574+0.6521029243289292j),21-10-1998,0.9196700448637906,C,25723357490233342654,NO,walk,,09-05-2016,,12-05-2020,(0.5681377179344281+0.23970936759813855j),0.8393305786656596,NO,B,王云,阎成,Lisa Mclaughlin,D,05-24-1998,邓玉华,B,李军,43611,0.6992498737962086,0.3245296903586511,,,侯兰英,王桂芳,03-12-1996,(0.3574513032676072+0.7312946516087494j),08-19-2006,,78581828509880020920,(0.7043494090122007+0.37272794136184983j),56309767634694570060,1479788569,False,True,12-30-2017,68414,C,787,05-31-2024,58026048624452388001,15-06-2023,858,8512460602,April Morgan,25-12-2013,0.004503673372930006,,individual,,False,society,True,31-10-1994,0.07553550011599508,29-04-2003,nearly,item,,0.20245525708861511,(0.470290915798265+0.35892946086956434j),True,5404764985,same,29032181407841264886,lparsons@example.net,,romeronancy@example.org,C,A,95913,355,(0.09879390596942728+0.23127561917191197j),1994-10-23,ksmith@example.com,clarkamanda@example.com,,,35225,,89297817061899144904,(0.9808616771095747+0.6497283682619949j),11-26-1997,B,1998-03-07,0.16838805893248698,19851350777822540430,835,,8768988597
01/24/2007,2012-01-26,A,4429588962,Evan Nash,(0.363534072269157+0.21714303610778096j),04-12-1996,0.6501107045031868,B,416505967684065773,NO,new,19-01-2017,2008-12-17,,10-01-2010,(0.8153248968863788+0.9632093941740851j),0.8819135824367503,True,D,黄兰英,黄冬梅,,B,,杨想,A,沈桂珍,27862,0.05109975971009606,0.7828494842981772,,22-05-1997,张云,黄瑜,06-19-2019,(0.6889846328386674+0.5877658131139054j),02-04-2002,Mrs. Katrina Cook,23787732832800842982,(0.664418602424191+0.20227016717201285j),67199338898531513838,2789754209,NO,True,2010-07-25,10009,D,medical,04-17-2008,15980184062738033071,27-02-2009,801,5611795824,Kelly Crawford,16-07-2022,0.5898950924020216,,117,18-06-2024,True,but,YES,2005-08-13,0.3654015131402788,26-01-2008,future,788,,0.3770979770239836,(0.5892942394746308+0.4163100821072858j),False,2182739891,still,55677864706389041639,penadalton@example.org,Not found,hugheskaren@example.org,C,,61728,883,(0.12222273706132192+0.9806124146268616j),2008-01-12,dawsonjames@example.net,jasminharding@example.org,13-05-1999,Steven Tran,26500,,40315537409464495011,(0.6203494513552914+0.48686924020032796j),08-27-2010,B,2005-07-31,0.35006843652870623,33055317690529536537,230,False,8610254508
07/07/07,1995-12-21,,5077703702,Sandra Rice,(0.8278806945995901+0.5260488163093706j),06-03-2017,0.15605046008135703,A,88714636681985949147,True,your,17-04-2009,2018-11-11,,20-02-2001,(0.3401350906720251+0.36420831275204935j),0.13118381893928233,YES,A,蔡秀云,庞洁,Christopher Bates,B,,葛玉,,许桂香,30497,0.4264940843913956,0.6103506543578888,,,孙倩,庄涛,08-18-1999,(0.6618729655171738+0.9528108512621235j),11-27-2020,Matthew Henderson,1236173833282344710,(0.4351067451951105+0.5170279201570134j),82683079572193390052,6293675885,False,False,02-05-2003,24044,B,matter,06-16-2019,13220465350834887275,03/03/03,late,2165746111,Dwayne Friedman,15-02-2003,0.13354942255430113,,673,,YES,,YES,03-12-1995,0.10659157602896485,23-12-2018,,entire,,0.9746891774927067,(0.67150682202715+0.9619848097438908j),False,5285579903,suggest,61269402559501966867,wthomas@example.net,couple,sarahlowe@example.org,,C,22107,504,(0.14840361929619605+0.8080791156685673j),1999-10-03,caldwellmarie@example.net,jgardner@example.com,12-06-2022,Sierra Hunt,41947,,45970608568211636860,(0.1244061147134069+0.03449377653912833j),07-18-2002,D,2024-06-15,0.625762190785079,43209584882270447675,930,NO,1785564344
06-25-2019,1996-07-08,B,7627563813,Leah Roach,(0.5867203958306049+0.6751255804531026j),29-10-2017,0.11076459794353355,B,75855833636829757127,True,already,07-06-2015,02-13-2012,08-23-1994,01-07-2002,(0.365557107733568+0.6531351077216202j),0.6597289217986712,NO,D,杨平,李海燕,Shawn Frederick,D,11-06-1994,魏婷,C,林秀芳,41518,0.9480716978777208,0.23244341508830302,,,徐建平,胡建,01-26-2023,(0.1325233998275589+0.4115393301342606j),12-09-1997,,8593990470817215383,(0.7306392534489506+0.3964835926762367j),37495666445249961920,8268791485,True,True,2018-04-06,36802,C,rock,05-05-2007,20393284478753206047,08/07/08,962,7899843530,Gerald Rivera,06-03-2009,0.11993311039833832,,941,02-11-1995,,call,NO,12-05-2005,0.747080356132007,19-05-1998,,style,,0.24620566134954447,(0.11936547702360167+0.8141678305419747j),True,2939093259,ok,41204681548143057725,maydavid@example.net,Missing,lavila@example.org,A,A,72812,653,(0.5186552906324795+0.019283359131689326j),1997-04-19,bondelizabeth@example.com,melissa92@example.com,,,32216,,91284121976094264511,(0.4647675954451207+0.6466290439741469j),11-29-2008,,2011-11-22,0.507591262956862,18464881137659109339,651,YES,9996828996
2011-02-21,2000-11-08,,8538605311,Bailey Smith,(0.00674732784245291+0.9407102056862494j),13-05-1995,0.8305047875230884,A,92972154657057786589,False,leader,10-10-2010,10-02-2005,05-16-2020,06-02-2021,(0.8815666735137975+0.38094416116762153j),0.19162443075938895,YES,B,王娜,孙桂芝,Christopher Jefferson,D,05-25-2000,崔刚,,卢涛,54040,0.5217636461688729,0.4249151094603886,,26-02-1998,周欢,隋丽丽,02-02-2009,(0.4324753251775202+0.724797528566483j),08-05-2004,Michael Thompson,10865747751866606199,(0.8449589224218034+0.3987547406644062j),37383782313852871841,4061450611,False,False,04-02-2020,88578,B,live,08-19-2007,45622436680569111368,1995-03-09,950,3325308319,Joseph Nelson,25-04-2015,0.2702160937971271,2016-08-04,134,21-06-2019,True,a,YES,02/02/02,0.32597398999491356,09-08-2023,state,election,06-08-2005,0.2920421241085007,(0.2553519548852845+0.3764626804433425j),False,2367067999,788,8677876120999711496,kinglauren@example.com,Missing,manuelmorales@example.net,D,D,78123,pressure,(0.8108287523194256+0.7964046554066428j),2003-09-30,callen@example.net,tmunoz@example.net,12-04-2015,Steven Gibbs,57684,,74362364070308581532,(0.17810286168557032+0.7061787309259706j),02-21-2000,A,1998-08-03,0.7472710588572508,48792089632025050300,better,False,1746698197
